GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-KPHS_02600	5630.4865838154	6.60788121382381	0.221210322851169	29.8714866858614	4.61820679457853e-196	1.78539874678406e-192
gene-KPHS_02590	2696.18286564272	5.83479511791504	0.212423349716177	27.4677672003149	4.26261289424899e-166	8.23963072458329e-163
gene-KPHS_35800	1413.58708056977	-4.2412590138147	0.175230869173017	-24.2038348256267	2.02721850186407e-129	2.61240890940216e-126
gene-KPHS_27560	9613.93984879134	-4.78227818120413	0.209991990506547	-22.7736218399008	8.37328799426687e-115	6.47422627716715e-112
gene-KPHS_47650	10067.5979583585	3.56672981789988	0.156562419888911	22.7815194759422	6.99231906742e-115	6.47422627716715e-112
gene-KPHS_10800	3994.60612095767	-3.51681353650691	0.157399412723425	-22.3432443339957	1.40462167332542e-110	9.0504456484601e-108
gene-KPHS_08720	2057.92942290151	11.00693736176	0.557279613904084	19.7511932737852	7.8344666561643e-87	4.32686401324731e-84
gene-KPHS_03160	15118.2766808386	3.95674878288776	0.201010740856278	19.6842654578186	2.94170495457458e-86	1.42157891929817e-83
gene-KPHS_46350	1120.61841731437	3.97801845798879	0.207600640634285	19.1618794905194	7.70404432102506e-82	3.30931503834254e-79
gene-KPHS_14750	590.392008234092	4.29348601599939	0.227012806989206	18.9129682723298	8.91921066194605e-80	3.44816684190834e-77
gene-KPHS_41900	5418.43186108331	4.69291819955867	0.253868651381681	18.4856151951706	2.6960641494713e-76	9.47544000168732e-74
gene-KPHS_50940	1360.48424610391	3.71506162944484	0.202081015136055	18.3840210172321	1.76395267193553e-75	5.68286752475229e-73
gene-KPHS_46340	48645.6934161661	2.88249779521544	0.158435001012176	18.1935669315515	5.80372531124302e-74	1.72593861948196e-71
gene-KPHS_18370	4492.41552668842	3.84621765339211	0.212645734821264	18.0874432145323	4.00229452356447e-73	1.1052050448643e-70
gene-KPHS_36970	869.654026929604	-3.00432336978275	0.168117163198924	-17.8704143742176	2.00499502345724e-71	5.16754050712378e-69
gene-KPHS_01430	2056.77955372648	-3.46506589154573	0.197468148001243	-17.5474674099031	6.21920740630139e-69	1.50271598954757e-66
gene-KPHS_32850	2335.15861076028	-4.2512427219612	0.248321422478642	-17.1199193348968	1.05421323359342e-65	2.39740491827775e-63
gene-KPHS_04400	3435.42196718995	-4.79882285264534	0.282858877543804	-16.9654312932151	1.48008962838204e-64	3.17890361295831e-62
gene-KPHS_41870	414.009096788213	4.25723828830278	0.25593672093233	16.6339487072994	3.9563893012738e-62	8.0502110730129e-60
gene-KPHS_02610	847.154470360653	3.78691182298368	0.227751005876408	16.6274208467764	4.41180692016936e-62	8.52802277668738e-60
gene-KPHS_33670	919.278565074461	-3.13012324588904	0.189308836435115	-16.5344804016154	2.07156713669876e-61	3.81365645260828e-59
gene-KPHS_13570	1265.23498700097	-4.78894255536277	0.291707287031711	-16.4169452333296	1.44669006313662e-60	2.54222899276643e-58
gene-KPHS_33270	1803.11201867157	-2.62844166719231	0.161740456708171	-16.2509845754598	2.19805850026042e-59	3.69464963565512e-57
gene-KPHS_14760	474.403916223965	4.01197625357157	0.248249087322255	16.1610916553485	9.48667321734039e-59	1.52814494409325e-56
gene-KPHS_02580	5608.54265485282	6.02507883781752	0.374344491075516	16.0950113637497	2.76520719346303e-58	4.27611640397123e-56
gene-KPHS_15080	1273.13053542971	-3.51818473769519	0.220459248351318	-15.9584356927894	2.48891703376273e-57	3.70082817404873e-55
gene-KPHS_23730	1391.72774954636	-2.82529989226478	0.17716247876888	-15.9475071239581	2.96498094017706e-57	4.24541344989797e-55
gene-KPHS_15280	12143.6193649055	-2.84982412335422	0.180673776339417	-15.7733135438565	4.74914478944497e-56	6.55721205571223e-54
gene-KPHS_35920	908.71394618007	-3.16090042434504	0.2034702048351	-15.5349547463559	2.0121423580719e-54	2.68239391596757e-52
gene-KPHS_46370	3951.93450784158	3.73950458482991	0.243821491302577	15.3370589477253	4.32343817982936e-53	5.5714706677401e-51
gene-KPHS_30290	2844.36051919483	-3.19365679543987	0.209768348796454	-15.2246838656236	2.42528093919946e-52	3.02456003578874e-50
gene-KPHS_32860	1533.85875461496	-3.87835237487564	0.257268479348001	-15.0751167990132	2.36097996325618e-51	2.85235891810888e-49
MSTRG.1619.1	1494.00661921498	2.41154401900988	0.161025213700379	14.9761889060248	1.05071904916341e-50	1.23093328608053e-48
gene-KPHS_27570	6260.77195616718	-3.8190073576721	0.25931120302307	-14.7275062286157	4.29255861152835e-49	4.88089164475547e-47
gene-KPHS_29100	2296.07294716074	-3.06748070461196	0.212182994222786	-14.4567698078159	2.27213467120609e-47	2.50973503968079e-45
gene-KPHS_36730	1134.82351326814	-2.43076742863543	0.168650414681609	-14.4130533756731	4.28346702534111e-47	4.59996764443576e-45
gene-KPHS_10960	1091.43701786837	-3.24576667330504	0.225369829067036	-14.4019573815251	5.02985539743842e-47	5.2555191801343e-45
gene-KPHS_23710	807.503086727367	-3.40712675681479	0.239292235428458	-14.2383506540204	5.29623357100398e-46	5.38822078565826e-44
gene-KPHS_14790	232.329272561346	3.87408868250094	0.273048033661191	14.1883046383995	1.08244057696643e-45	1.07300391552621e-43
gene-KPHS_36580	3929.16845175506	-2.20242207747592	0.15630277431492	-14.0907420685859	4.3298771731516e-45	4.18482628785102e-43
gene-KPHS_03150	221.845024713374	3.23312268544392	0.231530598465643	13.9641270176378	2.58047947980815e-44	2.43320333388739e-42
gene-KPHS_21920	804.542089289441	4.27515713977093	0.312147975814438	13.6959310039299	1.07375182014368e-42	9.88362984922727e-41
gene-KPHS_42090	1989.14063842037	-2.56769912026084	0.188153661507584	-13.6468198369732	2.10882497106044e-42	1.8959807763069e-40
gene-KPHS_19780	7200.11775272566	2.54761998424581	0.187525157554393	13.585483769061	4.88294952096631e-42	4.29033701092176e-40
gene-KPHS_28770	8341.58477691344	-2.8335691262858	0.211245160617606	-13.4136522607261	5.02994127367821e-41	4.32127843645332e-39
gene-KPHS_15910	6441.2206413574	1.98275209853002	0.147852113921434	13.410373689913	5.25732503087683e-41	4.41843881942822e-39
gene-KPHS_18570	5158.8487273551	-2.14321561154252	0.159916245499334	-13.402113117716	5.87658076213165e-41	4.83380026093637e-39
gene-KPHS_07980	3004.53995042455	2.30079641612338	0.172966937508138	13.3019434191874	2.25529094828776e-40	1.81644891793343e-38
gene-KPHS_23720	547.644005736856	-3.12533312271905	0.235136757392003	-13.2915549120579	2.5913657301827e-40	2.04453467609925e-38
gene-KPHS_46600	7402.59829164027	2.32331023795698	0.175255145404323	13.2567305376226	4.12490616451145e-40	3.18937744640026e-38
gene-KPHS_00030	26178.8673428019	-4.3555756034179	0.328762759963113	-13.2483849566982	4.61017733232028e-40	3.4946952091667e-38
gene-KPHS_46740	1695.1308308867	-2.94832624336543	0.224430292162697	-13.1369353706856	2.02253411818682e-39	1.50367632709813e-37
gene-KPHS_02570	880.142752583689	3.20201685051878	0.243865534015077	13.1302558332036	2.20908948821656e-39	1.59252068588492e-37
gene-KPHS_34580	894.226485804557	3.87145815822787	0.294861931138693	13.1297320860551	2.22442103046523e-39	1.59252068588492e-37
gene-KPHS_49910	950.890203108857	-3.25605238227103	0.248690975125062	-13.0927645469789	3.62181360895006e-39	2.54580571130926e-37
gene-KPHS_02560	530.92807016172	2.55627874942599	0.197889325996222	12.9177192178359	3.57584599930991e-38	2.46861082738073e-36
gene-KPHS_51740	1449.10957858146	3.90532566576527	0.303045345655665	12.8869349810199	5.33211617003875e-38	3.61648440585435e-36
gene-KPHS_10350	1376.27423906165	4.78790270761507	0.371682299060465	12.8817076296554	5.70589602838099e-38	3.80327483546912e-36
gene-KPHS_10490	350.706915309078	4.22731463653511	0.328518502230071	12.8678129476391	6.83090593197629e-38	4.47598005644412e-36
gene-KPHS_33510	776.001700934462	-3.71581512854983	0.289768306445024	-12.8234007857405	1.21262821072455e-37	7.81336777110183e-36
gene-KPHS_20790	887.415032954467	2.61780260073611	0.204330072269079	12.8116364452158	1.41126535642295e-37	8.94418339005101e-36
gene-KPHS_05370	4090.05930609251	-2.68669692257611	0.213199525899441	-12.6017959526014	2.0639078538398e-36	1.28694641337817e-34
gene-KPHS_43150	491.839181184722	2.42212456307874	0.193400663540769	12.523868939923	5.52736925147893e-36	3.39187452797104e-34
gene-KPHS_50470	406.045623577344	2.35606340190056	0.188710238465188	12.4850851817199	9.00469156211339e-36	5.43939649673912e-34
gene-KPHS_50950	794.158945033759	-2.77954922925517	0.223423994107498	-12.4406925959699	1.57135456431767e-35	9.34593345484942e-34
gene-KPHS_23690	696.802458616605	-3.75928124486679	0.303356115985207	-12.392304116427	2.87657867907079e-35	1.68497775352844e-33
gene-KPHS_23680	497.267748086149	-2.50529816496897	0.202246230658202	-12.3873664137798	3.05925814217573e-35	1.76523760860468e-33
gene-KPHS_46420	5908.06309574609	2.83858232899547	0.229685562008158	12.3585579527835	4.37942448227346e-35	2.48983162477488e-33
gene-KPHS_34390	4963.75852640332	2.84525205358786	0.23028330358917	12.355442228082	4.55245784381618e-35	2.55069594553527e-33
gene-KPHS_39870	1602.75043115917	-1.83829607164913	0.149141182856423	-12.3258783150382	6.57234474867423e-35	3.62981211405351e-33
gene-KPHS_31730	510.541201001566	-2.77346892367865	0.226044283146483	-12.2695822476579	1.31932277317754e-34	7.18380541000613e-33
gene-KPHS_43140	754.049584955399	2.07901873586333	0.169929139806803	12.2346216677553	2.03048721465831e-34	1.09025882942625e-32
gene-KPHS_01200	3403.07817372401	-1.88601315208108	0.15428406849992	-12.2242897171334	2.30588328668139e-34	1.22117051867264e-32
gene-KPHS_40620	36004.3372686693	2.20553650123638	0.181967536626907	12.1204943591584	8.22614385614564e-34	4.29760434430527e-32
gene-KPHS_17000	2410.45930666529	-2.18421662190144	0.181489232294766	-12.0349653490954	2.3273172133806e-33	1.19965444625725e-31
gene-KPHS_20170	1400.34213739617	-2.27537831384822	0.190571777098705	-11.9397444285242	7.34485266051547e-33	3.68768836176011e-31
gene-KPHS_44520	127.498560907453	3.44668903304335	0.288653357397202	11.9405818249345	7.27127691741873e-33	3.68768836176011e-31
gene-KPHS_14730	1144.76480280902	2.7664137047322	0.232167981542809	11.9155694353233	9.81930196617736e-33	4.86684889759508e-31
gene-KPHS_41530	1890.20449768975	2.88479814348019	0.24335435610293	11.8543106837177	2.04399318587569e-32	1.00026299450575e-30
gene-KPHS_23700	515.987942369643	-3.66572974029583	0.312135128794249	-11.7440473760714	7.57715076813671e-32	3.65530545221508e-30
gene-KPHS_44310	258.028751209837	2.43762411835493	0.207578493663435	11.7431438841986	7.65855513785363e-32	3.65530545221508e-30
gene-KPHS_01970	14734.2108988074	-2.05814634008335	0.17566697218624	-11.7161826976862	1.05311261793173e-31	4.965040708444e-30
gene-KPHS_15750	5949.91933892173	2.32430051438858	0.199072705795179	11.6756363214352	1.69790428293196e-31	7.90855175640356e-30
