##Falco	1.3.0
>>Basic Statistics	pass
#Measure	Value
Filename	reverse
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8802179
Total Bases	1320 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	56.4
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1101	101	-0.14594968505223
1101	102	-0.10538524289445
1101	103	-0.169852324787307
1101	104	-0.0752059372018081
1101	105	-0.24592374752897
1101	106	-0.142325917392995
1101	107	-0.109779838839977
1101	108	-0.0890691021927097
1101	109	-0.348788421306736
1101	110	-0.0736987115866015
1101	111	-0.0176028269739703
1101	112	-0.0686261882112973
1101	113	-0.162995622654385
1101	114	-0.298875116924116
1101	115	-0.235454283097496
1101	116	-0.283216161439761
1101	117	-0.203817216669151
1101	118	-0.157058791640395
1101	119	-0.0582438257382591
1101	120	-0.297606510389429
1101	121	-0.0986551616528573
1101	122	-0.187801022577133
1101	123	-0.0556984928175979
1101	124	-0.15500883237695
1101	125	-0.14575626531559
1101	126	-0.141950264495961
1101	127	-0.177472076876882
1101	128	-0.1154214209093
1101	129	-0.0613207684593817
1101	130	-0.0745581473145052
1101	131	-0.370032092022043
1101	132	-0.103075065049069
1101	133	-0.0653246984952887
1101	134	-0.0944589758418317
1101	135	0.0240606875873368
1101	136	-0.219106973318532
1101	137	0.0234185850808544
1101	138	-0.25657996157031
1101	139	-0.203513359985124
1101	140	-0.220858637821834
1101	141	0.0900305553140512
1101	142	-0.0988660408122257
1101	143	-0.380849894588998
1101	144	-0.12123309469613
1101	145	-0.277079609963323
1101	146	-0.201650366396265
1101	147	-0.219402319840817
1101	148	-0.0024892676126953
1101	149	-0.287341708029473
1101	150	-0.178871095890116
1102	1	0.0276513757232451
1102	2	-0.0369224777787451
1102	3	-0.00270510208318342
1102	4	-0.12237701213067
1102	5	-0.116988651726565
1102	6	-0.105477156846888
1102	7	-0.155149452645929
1102	8	-0.0499556579372182
1102	9	0.0917960289899256
1102	10	-0.0730173132213778
1102	11	-0.256866409798484
1102	12	0.0334968284716197
1102	13	-0.286650954133471
1102	14	0.0884220649677872
1102	15	0.0115520452681253
1102	16	-0.210444445167411
1102	17	-0.213444818886806
1102	18	-0.0516017377616578
1102	19	0.0109676729876256
1102	20	-0.122338785546717
1102	21	-0.298653533453184
1102	22	-0.308786089200218
1102	23	-0.423923701545839
1102	24	-0.0769062387747326
1102	25	-0.150797012010869
1102	26	-0.0415451510565887
1102	27	-0.0457093958025681
1102	28	-0.12046328812346
1102	29	-0.21678180859741
1102	30	-0.44160391619927
1102	31	-0.224226051748751
1102	32	-0.105733065816963
1102	33	-0.41038190513342
1102	34	-0.165141818431756
1102	35	-0.1956741565984
1102	36	-0.114638420409896
1102	37	-0.00552658158650132
1102	38	-0.0602770744396182
1102	39	-0.189018554597737
1102	40	-0.226286511099836
1102	41	-0.324850523857826
1102	42	-0.24756666685257
1102	43	-0.316578276889672
1102	44	-0.0856998958315884
1102	45	-0.12506370451824
1102	46	-0.178001339389269
1102	47	-0.252717450522077
1102	48	-0.22795920494076
1102	49	-0.291226925395961
1102	50	-0.317008781037508
1102	51	-0.17172056705374
1102	52	-0.121141245175011
1102	53	-0.169585345748025
1102	54	0.0311970624425939
1102	55	-0.252204857980431
1102	56	-0.334947699681422
1102	57	-0.350525245657117
1102	58	-0.0783979857056067
1102	59	-0.0773908230171898
1102	60	-0.168129520961649
1102	61	-0.0361723859626508
1102	62	-0.102326065040913
1102	63	-0.272949434892055
1102	64	-0.149505506022372
1102	65	-0.216103554615287
1102	66	-0.164814413743372
1102	67	-0.193993135791359
1102	68	-0.0995121830872847
1102	69	-0.115324594692346
1102	70	-0.31985735222824
1102	71	-0.189530514548153
1102	72	-0.0505856671560068
1102	73	-0.332630724589094
1102	74	-0.133926914334651
1102	75	-0.148039637236565
1102	76	-0.185431497703362
1102	77	-0.264483982945137
1102	78	-0.230972766250673
1102	79	-0.280130416814103
1102	80	-0.167881751762323
1102	81	-0.303872662794902
1102	82	-0.0399225093824924
1102	83	-0.149178934030601
1102	84	-0.371447470967418
1102	85	-0.182888551988874
1102	86	-0.139488243253375
1102	87	-0.0917498498305918
1102	88	-0.22976860949116
1102	89	-0.0491408998060194
1102	90	-0.165417066619241
