GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-BTH_RS19630	706.003229452096	-2.61067728486153	0.158037942094976	-16.5193070110505	2.66441868671726e-61	1.17927171074106e-57
gene-BTH_RS12735	1028.42499428129	-3.11339985268852	0.234029688658684	-13.3034397068707	2.21059805357186e-40	4.89205349255453e-37
gene-BTH_RS10680	6862.97848405094	2.00766902333203	0.151696532725609	13.234771996823	5.52641896664294e-40	8.15331011545388e-37
gene-BTH_RS07805	347.033835499347	-2.68523650952764	0.206983321049403	-12.9732023619755	1.73622061433658e-38	1.92112810976343e-35
gene-BTH_RS10705	3998.97311889713	1.62680644205359	0.135961399676025	11.9652081100225	5.40618744709984e-33	4.78555712817278e-30
gene-BTH_RS10695	1487.6051526671	1.70221084163799	0.143899760914533	11.8291429451992	2.75944861181544e-32	2.03555325931585e-29
gene-BTH_RS25870	12137.2286504922	1.92149416584179	0.167625215538281	11.4630377039126	2.02292876131767e-30	1.27906895679886e-27
gene-BTH_RS10690	1129.50211173449	1.51633670721342	0.132839512637308	11.4148017943537	3.52707089194487e-30	1.9513519709685e-27
gene-BTH_RS34895	311.248518164299	-2.55541461137013	0.230189832397823	-11.1013357312575	1.23582949954381e-28	6.07753484997878e-26
gene-BTH_RS19625	520.584123283771	-2.0711800544582	0.187748225177823	-11.0316891278014	2.68768993552188e-28	1.18957156546199e-25
gene-BTH_RS12690	671.700727893168	-2.14723806879119	0.19483809766206	-11.0206273544894	3.03933364113484e-28	1.22291733596934e-25
gene-BTH_RS35150	382.261725873761	-3.34806356133415	0.305939736541938	-10.9435394015096	7.13585606691472e-28	2.63194157934704e-25
gene-BTH_RS25855	7425.81859939747	1.75389799326754	0.161874090587821	10.8349519487555	2.35088801094506e-27	8.00386948957141e-25
gene-BTH_RS01825	731.91827066312	-2.6947901227654	0.250625679936573	-10.752250621115	5.78329836752072e-27	1.82834846961762e-24
gene-BTH_RS30415	509.401619849946	-2.39562541247929	0.228237370205372	-10.4962014341633	8.99263411802721e-26	2.65342657375923e-23
gene-BTH_RS01865	141.334294265857	-2.96857793982777	0.285548357379537	-10.3960602928003	2.58396885167581e-25	7.1479038359482e-23
gene-BTH_RS33560	1471.37706014831	-1.92338637987349	0.185785851238176	-10.3527064469927	4.06819987507648e-25	1.05916780276991e-22
gene-BTH_RS25840	1621.25135458769	1.67864240044635	0.163673577554857	10.2560378133345	1.11175245456525e-24	2.73367575772543e-22
gene-BTH_RS07810	204.256575993267	-2.46752318791562	0.245338978142003	-10.0576076683886	8.50396861166735e-24	1.98097710922314e-21
gene-BTH_RS25865	14073.0096087705	1.77458353022753	0.177202663875328	10.0144291932092	1.31720058041408e-23	2.91496488445636e-21
gene-BTH_RS25850	2138.13175949004	1.77389274022376	0.177695509007074	9.98276630701534	1.81339270159385e-23	3.82194099869256e-21
gene-BTH_RS34680	1242.56655705447	1.34171245327983	0.13469001272181	9.96148434591813	2.24682729490322e-23	4.52020800329166e-21
gene-BTH_RS12765	353.898680367686	-2.74850165435956	0.278632178487046	-9.86426502955882	5.94683607988603e-23	1.14437810824242e-20
gene-BTH_RS25860	11583.627575835	1.80036291354426	0.184770587330581	9.74377437207118	1.96131216442677e-22	3.61698651656371e-20
gene-BTH_RS10685	645.147395050818	1.96963273086458	0.203466924718547	9.68035828717198	3.65433066325403e-22	6.46962700622494e-20
gene-BTH_RS06330	3239.79107907148	-1.18112645224041	0.123596450598412	-9.55631368475224	1.22025825462233e-21	2.07725501344554e-19
